sats,time,lat,long,velocity,heading,height,vert-vel,yaw-calc,YAW__,YAW_,
"008","070623,70","+03067,55089","-00425,65891","000,000","049,30","+00277,06","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070623,80","+03067,55089","-00425,65891","000,000","049,30","+00277,06","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070623,90","+03067,55089","-00425,65891","000,000","003,81","+00277,07","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070624,00","+03067,55089","-00425,65890","000,000","212,44","+00277,07","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070624,10","+03067,55090","-00425,65890","000,000","212,44","+00277,07","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070624,20","+03067,55090","-00425,65890","000,000","356,38","+00277,07","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070624,30","+03067,55090","-00425,65890","000,000","194,80","+00277,07","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070624,40","+03067,55090","-00425,65889","000,000","339,27","+00277,06","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070624,50","+03067,55090","-00425,65889","000,000","339,27","+00277,06","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070624,60","+03067,55091","-00425,65889","000,000","339,27","+00277,06","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070624,70","+03067,55091","-00425,65889","000,000","353,85","+00277,06","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070624,80","+03067,55091","-00425,65889","000,000","353,85","+00277,06","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070624,90","+03067,55091","-00425,65889","000,000","156,39","+00277,06","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070625,00","+03067,55091","-00425,65889","000,000","156,39","+00277,06","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070625,10","+03067,55091","-00425,65889","000,000","212,51","+00277,05","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070625,20","+03067,55092","-00425,65889","000,000","212,51","+00277,05","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070625,30","+03067,55092","-00425,65889","000,000","356,67","+00277,06","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070625,40","+03067,55092","-00425,65889","000,000","189,27","+00277,05","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070625,50","+03067,55092","-00425,65889","000,000","179,04","+00277,06","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070625,60","+03067,55092","-00425,65889","000,000","050,96","+00277,05","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070625,70","+03067,55092","-00425,65889","000,000","050,96","+00277,05","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070625,80","+03067,55092","-00425,65889","000,000","140,42","+00277,05","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070625,90","+03067,55092","-00425,65889","000,000","140,42","+00277,04","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070626,00","+03067,55092","-00425,65889","000,000","210,94","+00277,04","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070626,10","+03067,55092","-00425,65889","000,000","317,92","+00277,04","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070626,20","+03067,55092","-00425,65888","000,000","326,28","+00277,03","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070626,30","+03067,55092","-00425,65888","000,620","325,29","+00277,04","+000,036","+000,0","+0,00000E+00","+0,00000E+00",
"008","070626,40","+03067,55093","-00425,65887","001,030","322,96","+00277,04","+000,036","+000,0","+0,00000E+00","+0,00000E+00",
"008","070626,50","+03067,55095","-00425,65885","001,570","319,04","+00277,03","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070626,60","+03067,55097","-00425,65882","002,290","320,95","+00277,03","+000,000","+000,0","+0,00000E+00","+0,00000E+00",
"008","070626,70","+03067,55100","-00425,65878","003,450","322,06","+00277,04","+000,072","+000,0","+0,00000E+00","+0,00000E+00",
"008","070626,80","+03067,55105","-00425,65872","004,700","322,26","+00277,04","+000,072","+000,0","+0,00000E+00","+0,00000E+00",
